喂遲啲去唔去旅行啊	ssssssbes
其實我去到剪頭髮都唔知點講𡃉其實	besbesbessssssbe
即係我""其實我心目中又冇一個即係特定嘅即係噉樣喇	besssbesbmessssbebesbebes
但係我去到嘅時候我唔知剪短噉佢會問你想點樣剪短喇	besbesbesssssssssssbesss
跟住你又剪齊但係我又其實我又唔想剪齊	bessssbessbessssss
噉但係我又唔知點樣講形容俾佢聽我應該想我個頭想點樣噉樣囖	sbessssbesbessssbesssssbebes
你可唔可以睇嗰啲呢咪好多髮即係嗰啲髮型嗰啲書𠺢嗎	sssbesbessbesbebebebesss
你點解唔睇下噉指俾佢睇你想剪邊個	sbesssssssssssbe
唔係但係其實不過呢不過我覺得如果你你係想即係你係唔係想保留返長	bebebebesbesbebessssbessbesbess
我都唔知啊	sssss
我覺得長我個樣會冇咁細個囖	sbesssssssbes
喀喀喀	sss
係囖係囖係囖	ssssss
即係但係如果長呢我覺得都係即係冇乜變化啊	bebebesssbessbessbes
冇乜變化	ssbe
係嘞係嘞係嘞	ssssss
一係就剪碎噉樣囖	besssbes
係啊係啊	ssss
我都覺得係啊	ssbess
即係如果你係長一定係剪碎	bebesssbesss
噉你又唔會電𡃉喇	ssssssss
喀我覺得電重衰啊	ssbessss
啲頭髮已經唔好喇	sbebesss
即係其實一定剪碎	bebebess
所以如果剪碎你又唔想即係噉樣削啲頭髮呢	bebessssssbebessbes
係喇冇得剪𡃉其實	ssbessbe
所以我喺度搏命諗咗咁耐都未剪囖	besbebessssssss
或者你你而家啲陰咪好長𠸏	bessbessssss
係嘞係嘞	ssss
噉你可以剪下啲陰囖	ssbesssss
即係冇咁冇咁即係冇咁好似成日都係噉樣囖	bessssbessbebessbes
但係我又唔想剪嗰啲呢平陰囖	besssssbessss
剪碎囖	sss
咪剪碎佢囖	sssss
喀喀喀喀	ssss
哎我以前試過剪碎陰啊但係係有劉海噉樣嘅剪碎蔭重好肉酸囖	ssbessssssbessbebessssssbes
更加細個啊個樣	bebesss
因為前面又剪碎晒喎	bebesssss
喀就重好似冇即係好細重加細	sssbesbesssss
係嘞係啊好細	ssssss
喀喀喀	sss
所以我都其實冇乜特別好頭髮髮型適合我𡃉其實	bessbessbesbebebessbe
你問下你髮型師吖不如我成日都係噉𡃉	ssssbmesbesbessss
因為成日都留好耐啊	bebesssss
我諗我成日都去剪頭髮𡃉	sssbesssbes
我剪到我阿媽成日鬧我嘥晒啲錢	ssssbebessssss
係呀係呀	ssss
唔係但係你短頭髮其實都成日都要修喇	bebessbebesbessss
即係長啲就冇咗個形𡃉嚹	besssssssss
係吖即係好似好核突噉樣又厚	ssbebesbebess
咪好似男仔噉其實	sbebesbe
男仔佢長咗少少就會好肉酸𠺢嗎	besssbesssbess
噉如果你短頭髮女仔短頭髮都一定要去不時都要去修下噉樣喇	sbessbebesbesbessbesssssbes
同埋我覺得成日修呢啲頭髮啲質地呢好啲𡃉喎	besbebesssbesbesssss
喀係啊係啊係	ssssss
我都懷疑係啊	ssbess
因為剪咗啲舊嗰啲佢可以快啲生吖嗎	bessssbesbesssss
同埋即係我覺得佢生出來嗰啲呢係好好啲𡃉喎	bebesbessbebesssssss
好過舊嗰啲囖	sssbes
即係如果譬如你譬如你半年剪一次噉樣喇噉啲頭髮就好差嚹喎	bebebesbessssssbesssbesssss
喀喀喀	sss
即係可能又乾啊又盛噉樣𡃉	bebesssssbes
係啊係啊係啊係啊	ssssssss
同埋呢噉我又成日話呢想剪短啲噉吖嗎噉𠻺因為興短啲𠸏	bessssbesssssssssssbessss
係啊係啊係啊	ssssss
噉就想剪短啲喇噉我個髮型師就死都唔肯同我剪成日話唔好睇喎	ssssssssssbmessssssssbessbes
我諗住遲啲都係要轉下個髮型師先得	sssbessssssbmess
而家咪好興話剪到好短噉跟住咪摷起佢嗰啲呢	besssssssssbesbesbes
哦哦哦	sss
但係好難嘅我驚我自己剪咗之後唔識摷啊	bessssssbessbessss
唔係但係我見過梁詠琪嗰個呢又係摷起𠸏	bebessssbebesssbes
係啊係啊	ssss
我又覺得摷得幾好喎	ssbesssss
但係呢我想呢誒依家呢你有冇睇到宣萱個頭啊	besssssbessbesssssss
哦有啊有啊有啊	sssssss
即係見到耳仔嘅	bessbes
噉跟住呢前面又好短我係想剪前面短啲𠺢嗎噉睇下好唔好睇噉樣囖	sbesbesssssssbesssssssssbebes
你揾工揾成點啊	sbessss
哎吔都唔知點啊	besssss
其實我都見咗好多份嚹但係都未得啊	bessssbessbessss
噉你周圍揾你揾啲乜嘢啊通常都	ssbessssbesbes
誒我估我諗住教書囖其實	ssssssbesbe
因為最初嗰陣時呢我都見咗份誒誒噉樣嘅	bebebmessssssssbes
噉噉最初嗰陣時都話請咗我𡃉嚹但係我又"但係我又"一心即係諗住教書	ssbebmesssssssbesssbesssbebessbe
同埋我又覺得佢好似好辛苦𠺢嗎因為佢之前佢譯報紙嗰啲嘢呢噉譬如話十一點鐘	bessbesbesbessbesbessbebesssbesbmme
噉同埋佢話要我簽約呢就要簽半年噉樣喇噉中途又唔准違約喎	sbessssbessssssbessbesssbes
噉所以就誒如果做半年嘅噉我又費事噉樣囖所以就推咗佢囖	sbessbesssssssbebesbesssss
即係你都想多啲時候揾返教書嗰啲因為如果你一做咗份工噉你可能又	besssssbessbebebebessssssssbes
係嘞又又出唔返來噉樣囖好似	ssssssssbesbe
係啊係啊係啊係啊	ssssssss
係嚹係嚹	ssss
噉跟住又咗幾份教書噉樣嘅但係唉都唔知點啊	sbessssbebesbessssss
因為初時有一份呢就誒喇都得幾好𠸏噉到兩次嚹喎	bebessssssssssssssssss
噉第二次呢噉我初時呢我""以為佢係請我做即係全即係誒全年	sbessssbessssbesssssbesbesbe
"噉樣喇	sbes
噉我心諗"誒誒都好喇都考慮喇	ssbesssssssbes
"冇理由話"誒我唔考慮啊	ssbesssssbes
"噉樣講𠺢嗎	sbesss
噉我考慮跟住佢呢就即刻就轉話"誒誒噉你誒誒如果我而家叫	ssbebesssbessssssssssbesbes
噉我話誒誒因為我之前我一直都以為係做即係長工𠺢嗎	sssssbesbesbesbessbebess
噉所以我咪噉所以我講噉我嗰日我咪話"誒誒誒好喇噉	sbesssbessssssssssssssss
"誒誒但係我話"我要考慮下噉樣	sssbesssssbesbe
噉佢問我"你要考慮到幾時啊	sssssssbesbes
"噉樣囖	sbes
噉我話"誒下個星期三	sssssssbme
"噉樣喇	sbes
噉跟住佢話"哦噉好吖好吖	sbesssssssss
"噉樣	sbe
噉佢見完嚹喎	ssssss
噉但係我返到屋企之後呢問下啲同學嘅意見啊噉又問下阿哥同埋啲同埋	sbesssbebessssbesbesssssbebesbe
做住一年先都好喇	ssssssss
"噉樣佢話"你其他啲學校都重係有消息噉𠺢嗎	sbessssbesbessssbesss
"噉我咪話"噉呀	ssssssss
"噉噉我就星期一呢朝頭早晨早就打電話俾佢嚹喎	sssssbmesbmebessbessss
跟住就下個跟住嗰個星期一就打電話俾佢喇	besbebebebmessbesss
噉跟住我打返俾佢嘅時候佢就話"誒啊校長而家見𡁵人喎或者佢留底	sbessssssbessssssbebessssbesbe
"噉樣喇	sbes
噉點知呢嗰日成日都冇覆到我喎	sbesssssssssss
噉跟住到到第二日呢佢就揾一個人呢就打電話俾我佢話"誒誒	sbessbesssssssssssbesssssss
"噉樣喎	sbes
喀喀喀	sss
跟住我話"誒啊但係你嘅資料就會即係留低喇噉睇下第日會唔會有機會	besssssbessbessbebessssbessssbe
係囖係囖噉"哩個又"冇咗嚹喎	ssssssbessssss
喀喀喀喀	ssss
噉而家繼續繼續揾其他學校噉樣嘞	sbebebesbebebes
係啊噉跟住有一次又再見咗一間不過去到好遠嘅係大埔噉樣喎	sssbesssssssssbessssssbebes
噉噉通常我諗住"啊佢實"就係未見第一次之前我諗住"啊都	ssbessssssssssssbesbessssss
"噉樣	sbe
噉我諗住"3不如算喇試下喇	ssssssbesssss
"點知我搭車其實都唔係好遠囖	sbesbebesbesss
喀喀喀	sss
因為我搭一個鐘頭就到嚹喎	bessssbessss
喀喀喀	sss
噉即係好方便噉樣喇但係就搭好多程車囖其實	sbesbebesbessbesssbe
噉但係我諗住"不過都算喇如果最後都冇嘅哩份都好	sbessssbesssbebesssssss
"噉樣	sbe
噉呢噉我見咗三次嚹喎已經	ssssssssssbe
但係點知喺第三個俾人咗出來喎	bebesbessssbes
噉可能我就覺得佢係嫌我好遠囖	sbessbesssssss
因為譬如你喺一般人嘅心目中譬如話喺香港噉去到大埔噉樣好遠喇	bebessbessbmebessbesssbebesss
好遠𡃉	sss
""香港去到新界噉樣喎噉但係我搭車去真係唔係好遠噉呢如果我去九龍嗰啲	ssbessbebessbesbesbebessssbessbebe
噉變咗我覺得又唔係爭得好遠噉變咗我又我自己就唔介意囖	ssssbesbessssssssssbessbes
但係反而係佢介意我遠囖	bebessbesss
喀喀喀喀	ssss
係囖係囖	ssss
噉所以後尾𠻺冇囖而家都未有消息啊	sbebesssbesssbes
係囖係囖係囖所以都唔知點啊	ssssssbesssss
不過繼續揾下喇係喇	bebesssss
係喇噉你呢點啊	sssssss
噉就我都係揾唔到𡃉嚹	ssssssssss
點解啊	bes
係啊唔係我之前因為呢其實我自己都唔知想做啲乜嘢嘅	ssbesbebesbesbessssssbes
噉呢都係即係都係有乜就揾乜噉樣喇	ssssbesssssssbes
喀喀喀喀	ssss
噉呢就之前都誒開頭呢就揾揾咗一份嘅噉呢就但係噉呢我	sssbessbesssssssssssbesss
即係我嗰陣時放咗一個禮拜假度啫嗎	besbmessssbessss
喀喀喀	sss
噉呢我又噉呢我就扮嘢噉樣呢就呃佢囖"我要去旅行喎	ssssssssbebesssssssssbes
"噉我就推遲一個禮拜返工噉樣嚹	ssssbessbebebes
噉於是佢就話要考慮下噉樣囖	sbessssbesbes
噉結果就冇咗回音嘞	sbesssbes
係喇噉我繼續跟住後來都有揾噉樣喇	ssssbebebesssbes
喀喀喀	sss
噉即係我都冇乜1我都冇乜啲即係乜嘢目標噉噉樣揾嘅即係	sbessssssssssbebebesbessbe
噉噉後來又報咗一啲誒嗰啲噉樣嘅	ssbesssbesbebes
噉呢但係""你知噉呢有一份就係去誒律師律師樓嗰啲做譯嘢噉樣	ssbesssssssssssssbebmebesssbe
噉其實呢都會幾悶𡃉我諗住	sbesssssssss
但係幾難喎譯律師樓啲嘢係唔係呢	bessssbmesssbes
係啊噉呢佢即係呢佢佢又俾佢初頭第一次呢就叫你譯下嘢噉樣喇	sssssbessssssbebessssssssbes
噉呢跟住如果你譯嘢佢覺得噉你再上去噉樣喇	ssbebessssbesssbebes
即係但係呢其實譯啲嘢誒即係如果你話長期譯呢都幾悶𡃉嘞	bebesbessssbebessbesssssss
哦係喇係喇係喇	sssssss
同埋係囖	bess
噉跟住但係佢都有叫我上去第二譯即係第二次係嘞噉樣	sbebesssssbebesbebesssbe
噉呢佢就即係佢又講下佢個份工嘅俾我聽噉樣囖	ssssbessssssssssssbes
噉呢原來即係份工其實個人工都幾高嘅	ssbebessbesbessss
噉呢就萬七蚊噉樣	sssbesbe
噉呢但係呢佢呢就但係誒因為好辛苦𡃉原來份工	ssbessssbesbesbesbess
因為呢佢要誒噉呢時間都即係時間都唔係話短喇噉九點啊至到五點半	bessssssbesbebesbessssbesbebme
哦即係一般嗰啲返工噉樣	sbebebebebe
係嘞係嘞即係禮拜六又要返工噉樣喇	ssssbebmessbebes
噉佢就話"有乜"噉但係嗰個人就同我講呢佢就話"誒你唔好以為	sssssssssbebessssssssssssbebe
"佢話"誒成日都要誒開𡃉喎	sssssbessssss
"我哋啲呢又好𡃉	sbesssss
佢話"你要成日趕住啲	sssssbesss
"噉樣呢	sbes
冇得計𡃉	bess
冇得計返錢㗎	bessss
所以所以佢先俾咁高人工你囖	bebesssssbess
哦係呀	sss
我嗰陣時嗰份呢咪話俾你聽做𠸏	sbmessssssssss
喀喀喀喀	ssss
佢佢都話可能要𡃉	ssssbess
喀喀喀喀	ssss
有得計	bes
係即係計返你個然後再計返幾多錢俾你噉樣𡃉喎	sbessssbesssbesssbess
喀喀喀喀哦	sssss
係喇係喇係喇	ssssss
係喇噉係喇噉可能佢哩份呢因為個都噉樣喇	ssssssbessssbessbes
噉所以佢就唔會再計返俾你嘞	sbessssssssss
係喇係喇係喇係喇	ssssssss
可能佢都預咗𡃉嘞	bessssss
係喇係喇因為佢都話誒即係佢話佢哋都係噉因為佢哋而家喺度目前	ssssbessssbessbesssbebebebebe
即係個個都係成日都要佢話你以為你話你有時禮拜六吖或者禮拜日	bebessbesssssbesssbebmesbebme
哦係呀	sss
噉佢話即係佢話你就唔好以為份人工咁高呢你就你就趕即係好想	sssbessssssbesbessssssssbess
話就其實好辛苦嘅噉樣囖	ssbesbesbes
噉佢揀人都揀得幾犀利喎會唔會啊	ssbessssbesssss
誒都係𡃉	ssss
噉呢跟住佢誒但係後來呢噉𠻺喇噉其實佢冇即係冇乜問	ssbessbebesssssbessbesss
即係冇乜問你誒"噉你你有冇乜嘢心得啊	besssssssssbebebes
"即係佢唔會問哩啲嘢𡃉喎	sbessssbesss
哦可能佢淨係問想睇下你見下你個人啊嗰啲噉樣	sbesbesssssssssssbebe
係嘞係嘞係嘞	ssssss
噉跟住佢就話誒佢話呢不過呢佢話噉呢佢問我乜嘢性格噉樣嚹喎	sbesssssssbessssssssbebebess
噉呢但係我我冇諗住佢喺性格方面有啲乜嘢要求𠺢嗎	ssbesssssssbebebebebess
喀即係可能都係隨便問噉樣	sbebessbesbe
係嘞係嘞噉呢佢問我話我話係喇"我個人都幾開心吖	ssssssssssssssssssssbes
"我話"同埋都幾誒開朗啲喇	ssssbesssbess
"噉樣	sbe
喀喀喀	sss
係喇噉樣	ssbe
噉跟住於是佢就話嘞"啊噉啊但係呀噉樣就好似"佢話"噉但係你	sbebessssssssbesbesbesssssbes
即係佢噉樣講囖係嘞	besbessss
點解啊	bes
噉呢跟住佢即係佢就話"噉你覺得誒你可唔可以得到吖	ssbesbessssssbessssbesss
"噉樣	sbe
噉呢噉我見𡁵工𠺢嗎	sssssssss
噉我梗係話要得到喇	ssbesssss
""唔通你話你唔得啊噉樣	ssbessssssbe
噉但係但係呢噉其噉係囖如果但係其實我諗我都俾咗噉嘅	sbebessssssbebebessssssss
即係可能佢會想揾啲定啲嗰啲人	bebesssssssbes
係嘞係嘞即係揾啲係喇我諗佢會揾啲好靜啊即係係喇佢話	ssssbesssssssssssssbessss
噉唔得嘅咩	sssss
即係靜咗好耐先答𠺢嗎	bessssssss
啊係嘞係嘞係嘞	sssssss
即係要講同埋講少啲嘢囖係喇	bessbesssssss
唔知啊可能第日要去見嗰陣時要去	sssbebesssbmess
要好靜𡃉	ssss
冇乜點講嘢	sssbe
要文靜啲啊扮得	sbessss
哦係呀	sss
哎吔噉咪好慘囖	besssss
但係嗰份人工好高喎比起一般嗰啲來講	bessbesssbebebess
但係都係𡃉我都係因為佢份人工先去見"𡃉"咋	bessssssbessbesssssss
係喇我諗都而家啲人工都幾即係幾離譜𡃉其實	sssssbesbessbesbesbe
冇理由你譬如通常都一萬噉已經算係好好嘅一份工嚹喎	sbesbebesbesbessssssssss
係啊係啊係啊	ssssss
有啲佢要成七千有啲呢我見到喺度睇呢唔知點樣誒	besssbebessssssssssbes
噉我見到啲人呢噉樣貼因為佢貼晒啲工出來𠺢嗎	ssbesssbesbesssssbess
噉有啲人就話喎打個佢就話即係等於意思話"有冇搞錯	ssssssssssssbebebessbebe
我哋而家即係大學生畢業𡃉出咁低人工	bebebebmebessssbe
"噉樣喎	sbes
噉跟住另外有個人就寫落去就話誒寫住噉樣喎	sbebesssssbesssssbes
噉點知嗰個人又衰喇	sbebessss
寫哩個字又串錯字喎寫咗噉樣喎	sbessssssssbes
跟住又有另外一個人呢就係寫咗就話""噉樣喎	bessbessssssssssssbes
係喇後尾我覺得都幾好笑囖睇嗰啲貼喺度嘅嘢	ssbesbessssssbesbess
我諗可能應該好多同學都未揾到工喇	ssbebebebessssss
喀係啊係啊	sssss
唔係何美芳何美芳上到去睇呢成塊都係啲工喇但係呢好多都	besbesbessssssssssssbesbes
又報唔到喎	sssss
同埋根本都唔啱我哋	bebesssbe
係啊係啊	ssss
係喇係喇好多又係啊或者之類嗰啲嘢	ssssbesssbebebes
係喇係喇係喇	ssssss
係喇我有啲嗰啲同學呢即係宿舍嗰度啊	sssssbebesbebebes
噉呢就係有啲讀有啲讀噉樣喇	ssssssssssbes
喀喀喀	sss
噉佢哋嗰啲科目呢係比較好啲	sbebebessbess
即係揾工雖然你有時話但係其實佢嘅心目中都有啲	bebebesbesbebessbmesbe
係喇係喇係喇	ssssss
噉噉但係佢即係譬如佢哋我覺得佢哋有啲身在福中不知福啊	ssbesbebebesbebebebmmmmmes
"你講𡁵"啲嗰啲同學	ssssssbebe
係嘞係嘞	ssss
即係佢哋覺得3即係你揾乜嘢工即係你揾你揾工噉樣喇但係即係佢哋	bebebesbessbesbesssbebesbebebe
誒邊個覺得即係啲同學	sbebebesbe
啲同學覺得學科係唔緊要𡃉	sbebebessbes
係啊所以佢覺得你即係譬如我哋哩啲讀嘅同學揾唔到工呢即係佢覺得	ssbesbesbebebebessbesssssbesbe
噉我又覺得唔係呃	sssbebes
如果噉樣	bebe
唉真係慘啊其實	sbessbe
係喇即係都繼續要慢慢揾喇而家都	ssbesbesbessbes
係喇都	sss
我見到好多同學都未揾到其實	sssbebessssbe
係啊係啊係啊	ssssss
但係我亦都知道有啲譬如誒通常做嗰啲就係	besbebessbesbesbess
喀係啊係啊	sssss
係喇係喇	ssss
係唔係嗰啲係唔係呢即係佢係要返即係係唔係要聽電話嗰啲啊	sbebesbesbessssbesbessbebes
我都唔知啊其實	sssssbe
因為我見到好多同學都係做哩一類喎	besssbebesssssss
喀喀喀喀	ssss
譬如好似喺匯豐呢好似都請幾多哩啲人喎	bebesbesbessbebess
啊係啊係啊係啊係啊係啊	sssssssssss
所以我唔知即係好聽到佢講都係做哩樣嘢囖	besssbessssssssbess
係喇你其實你覺得去做匯豐嗰啲呢有冇前途啊	sssbesbessbebesbebes
誒我都唔知啊其實	ssssssbe
即係我覺得你如果想做哩份嘢啊因為我唔知佢晉升機會點啊其實做完哩	besbesbessssssbessssbebessbesss
唔知你會升到升到會唔會升到嗰啲噉	sssssssssssssbes
成世就噉做其實咪即係	besssbesbe
係囖所以我又唔知點囖所以我又覺得唔係咁想囖	ssbessssssbessbebesss
係啊係啊	ssss
揾哩份工噉如果冇發展我覺得唉好似做來做去都係噉樣我又唔想	sssssbesbesbesbessssssbessss
噉又係	sss
我想係要即係即係有得發展我而家想教書噉樣	ssssbebebebesbesbebe
噉樣其實我教書噉可以教教中學噉第日可以譬如我自己想就想譬如教大學或者	bebesbesbessbesbebebesbesssbesbebe
喀喀喀喀喀	sssss
譬如你一路噉樣讀返嗰啲噉呢	besbebessbess
喀喀喀喀喀	sssss
係喇如果就算唔讀唔教大專嗰啲呢都可以譬如做返嗰啲囖	ssbebessssbebessbebessbes
但係喺返教育哩一個即係哩一個層面去做囖	bessbesssbesssbesss
哩一方面喀	ssbes
係喇噉我覺得都覺得有啲發展噉所以我都想教書	ssssbesbessbesbesssbe
喀喀喀	sss
係喇係喇	ssss
係喇好似我先先輪呢噉都寄咗幾幾封信噉樣嘅	ssbessbesssssssssbes
噉呢全部都係請嗰啲噉樣嘅	ssbesssbebes
噉但係我覺得你哩啲工呢其實都唔乜即係冇乜要求𠺝係唔係先	sbesbesbessbesssbessbessbes
係喇係喇	ssss
即係都你即係都做得到囖嗰啲嘢	bessbesssssbes
係啊係啊係	sssss
但係佢就要有經驗噉樣囖如果係要請嗰啲就	bessssbebesbesssbes
喀喀喀喀	ssss
係啊係啊	ssss
噉呢我本來初頭我去寄信嗰陣時呢我都心諗"3其實就算俾我去做我	sssbebessbebmesssbessbebesssss
